word,log2 Probability
Clay,-12.359
advantage,-12.359
certain,-12.359
meaning,-12.359
sent,-12.359
silence,-12.359
weather,-12.359
Admiral,-12.385
Henrietta,-12.385
Perry,-12.385
circumstance,-12.385
curiosity,-12.385
easy,-12.385
live,-12.385
probably,-12.385
sight,-12.385
sitting,-12.385
surprise,-12.385
temper,-12.385
ten,-12.385
view,-12.385
wishes,-12.385
Poor,-12.411
Robert,-12.411
delighted,-12.411
former,-12.411
kept,-12.411
knowing,-12.411
lived,-12.411
notice,-12.411
plan,-12.411
spoken,-12.411
Benwick,-12.437
For,-12.437
Lyme,-12.437
One,-12.437
Street,-12.437
aunt,-12.437
bring,-12.437
difference,-12.437
equally,-12.437
greatest,-12.437
late,-12.437
occasion,-12.437
serious,-12.437
worse,-12.437
consider,-12.464
cottage,-12.464
delightful,-12.464
letters,-12.464
match,-12.464
pleasant,-12.464
quiet,-12.464
understanding,-12.464
confidence,-12.492
danger,-12.492
enjoyment,-12.492
invitation,-12.492
looks,-12.492
sake,-12.492
second,-12.492
turn,-12.492
wrong,-12.492
Cole,-12.52
Every,-12.52
Not,-12.52
amiable,-12.52
arrival,-12.52
creature,-12.52
excellent,-12.52
gratitude,-12.52
resolved,-12.52
sensible,-12.52
After,-12.548
With,-12.548
ago,-12.548
evil,-12.548
favourite,-12.548
followed,-12.548
hands,-12.548
judgment,-12.548
law,-12.548
morrow,-12.548
none,-12.548
resolution,-12.548
scarcely,-12.548
warm,-12.548
yes,-12.548
yesterday,-12.548
Goddard,-12.577
Their,-12.577
honour,-12.577
instantly,-12.577
persuaded,-12.577
spirit,-12.577
style,-12.577
answered,-12.607
except,-12.607
future,-12.607
happened,-12.607
remained,-12.607
spent,-12.607
times,-12.607
weeks,-12.607
window,-12.607
Croft,-12.638
Is,-12.638
admiration,-12.638
countenance,-12.638
disposed,-12.638
distress,-12.638
influence,-12.638
lost,-12.638
loved,-12.638
observed,-12.638
opportunity,-12.638
perfect,-12.638
praise,-12.638
tone,-12.638
ashamed,-12.669
completely,-12.669
especially,-12.669
expect,-12.669
friendship,-12.669
merely,-12.669
news,-12.669
pounds,-12.669
understood,-12.669
Had,-12.7
aware,-12.7
concern,-12.7
decided,-12.7
generally,-12.7
regret,-12.7
secret,-12.7
suffered,-12.7
turning,-12.7
whatever,-12.7
Then,-12.733
anxiety,-12.733
became,-12.733
companion,-12.733
interesting,-12.733
mentioned,-12.733
misery,-12.733
smallest,-12.733
Fanny,-12.766
Perhaps,-12.766
beauty,-12.766
cheerful,-12.766
delight,-12.766
duty,-12.766
easily,-12.766
event,-12.766
fixed,-12.766
mistaken,-12.766
pass,-12.766
pity,-12.766
seems,-12.766
smiling,-12.766
staying,-12.766
tried,-12.766
wanting,-12.766
women,-12.766
Campbell,-12.8
behind,-12.8
charming,-12.8
everything,-12.8
fact,-12.8
forced,-12.8
high,-12.8
hopes,-12.8
justice,-12.8
low,-12.8
ma,-12.8
music,-12.8
please,-12.8
reached,-12.8
unhappy,-12.8
wait,-12.8
written,-12.8
Donwell,-12.835
THAT,-12.835
attempt,-12.835
caught,-12.835
chance,-12.835
difficulty,-12.835
disposition,-12.835
effect,-12.835
finding,-12.835
horses,-12.835
led,-12.835
loss,-12.835
otherwise,-12.835
repeated,-12.835
suffering,-12.835
work,-12.835
Dixon,-12.87
Here,-12.87
Indeed,-12.87
Why,-12.87
agitation,-12.87
agreed,-12.87
compliment,-12.87
consciousness,-12.87
difficulties,-12.87
due,-12.87
ease,-12.87
exceedingly,-12.87
joy,-12.87
knows,-12.87
money,-12.87
promise,-12.87
share,-12.87
vain,-12.87
Upon,-12.907
absolutely,-12.907
begin,-12.907
dancing,-12.907
highly,-12.907
mine,-12.907
moments,-12.907
produced,-12.907
trying,-12.907
waiting,-12.907
Nothing,-12.944
also,-12.944
arrived,-12.944
breakfast,-12.944
claims,-12.944
cousin,-12.944
disappointment,-12.944
distance,-12.944
gentlemen,-12.944
hundred,-12.944
join,-12.944
marrying,-12.944
obliging,-12.944
prevent,-12.944
promised,-12.944
quick,-12.944
struck,-12.944
value,-12.944
welcome,-12.944
Musgroves,-12.983
Norland,-12.983
Taylor,-12.983
actually,-12.983
alarm,-12.983
altogether,-12.983
assured,-12.983
attached,-12.983
beautiful,-12.983
become,-12.983
daughters,-12.983
disappointed,-12.983
elegance,-12.983
expectation,-12.983
fair,-12.983
form,-12.983
occurred,-12.983
picture,-12.983
returning,-12.983
rich,-12.983
sweet,-12.983
tea,-12.983
Did,-13.022
age,-13.022
avoid,-13.022
fellow,-13.022
indifference,-13.022
information,-13.022
itself,-13.022
joined,-13.022
painful,-13.022
servant,-13.022
warmth,-13.022
write,-13.022
On,-13.063
Steele,-13.063
calling,-13.063
command,-13.063
cousins,-13.063
declared,-13.063
extraordinary,-13.063
forget,-13.063
importance,-13.063
inclination,-13.063
instead,-13.063
parties,-13.063
proof,-13.063
proved,-13.063
rain,-13.063
required,-13.063
safe,-13.063
says,-13.063
sudden,-13.063
Hayter,-13.105
amusement,-13.105
attentions,-13.105
cause,-13.105
conviction,-13.105
during,-13.105
elegant,-13.105
formed,-13.105
fortnight,-13.105
guess,-13.105
hurry,-13.105
immediate,-13.105
melancholy,-13.105
mention,-13.105
neighbourhood,-13.105
pay,-13.105
pleasing,-13.105
purpose,-13.105
quarter,-13.105
scheme,-13.105
sigh,-13.105
standing,-13.105
surprised,-13.105
suspect,-13.105
terms,-13.105
writing,-13.105
Lord,-13.148
angry,-13.148
bed,-13.148
couple,-13.148
declare,-13.148
dreadful,-13.148
earnest,-13.148
eldest,-13.148
fear,-13.148
getting,-13.148
humour,-13.148
imagined,-13.148
important,-13.148
income,-13.148
indifferent,-13.148
lately,-13.148
miles,-13.148
note,-13.148
observe,-13.148
odd,-13.148
offer,-13.148
pride,-13.148
service,-13.148
shew,-13.148
summer,-13.148
trouble,-13.148
warmly,-13.148
whenever,-13.148
wishing,-13.148
affectionate,-13.192
besides,-13.192
clear,-13.192
comes,-13.192
concerned,-13.192
considerable,-13.192
dance,-13.192
desirable,-13.192
eager,-13.192
excuse,-13.192
fully,-13.192
intended,-13.192
leaving,-13.192
papa,-13.192
pause,-13.192
period,-13.192
receiving,-13.192
rooms,-13.192
